max_depth,max_features,min_samples_split,n_estimators,Accuracy
5,,12,190,0.8500978473581213
5,,12,200,0.8500978473581213
5,,14,10,0.8337619979498649
5,,14,20,0.8432858074736744
5,,14,30,0.8392041748206133
5,,14,40,0.836501723977262
5,,14,50,0.8419345820519988
5,,14,60,0.8460162147050602
5,,14,70,0.8487279843444228
5,,14,80,0.8500978473581213
5,,14,90,0.8500978473581213
5,,14,100,0.8500978473581213
5,,14,110,0.8500978473581213
5,,14,120,0.8473674401267356
5,,14,130,0.8500978473581213
5,,14,140,0.8514677103718199
5,,14,150,0.8473674401267356
5,,14,160,0.8487373031404342
5,,14,170,0.8487373031404342
5,,14,180,0.8487279843444228
5,,14,190,0.8473674401267356
5,,14,200,0.8473674401267356
10,sqrt,2,10,0.8501258037461561
10,sqrt,2,20,0.867831516168111
10,sqrt,2,30,0.8705712421955083
10,sqrt,2,40,0.8705712421955084
10,sqrt,2,50,0.876022737862268
10,sqrt,2,60,0.8732923306308825
10,sqrt,2,70,0.8705526046034852
10,sqrt,2,80,0.8705619233994968
10,sqrt,2,90,0.8732736930388594
10,sqrt,2,100,0.8705619233994968
10,sqrt,2,110,0.8691920603857982
10,sqrt,2,120,0.8732736930388594
10,sqrt,2,130,0.8719131488211722
10,sqrt,2,140,0.8732736930388594
10,sqrt,2,150,0.873283011834871
10,sqrt,2,160,0.874643556052558
10,sqrt,2,170,0.8732830118348709
10,sqrt,2,180,0.871922467617184
10,sqrt,2,190,0.8732830118348709
10,sqrt,2,200,0.874643556052558
10,sqrt,4,10,0.862426614481409
10,sqrt,4,20,0.8610381138756873
10,sqrt,4,30,0.8705619233994968
10,sqrt,4,40,0.8637405647190383
10,sqrt,4,50,0.8732736930388594
10,sqrt,4,60,0.8705339670114622
10,sqrt,4,70,0.8718945112291493
10,sqrt,4,80,0.8759947814742335
10,sqrt,4,90,0.8787251887056193
10,sqrt,4,100,0.8759947814742335
10,sqrt,4,110,0.8759947814742335
10,sqrt,4,120,0.875985462678222
10,sqrt,4,130,0.8746249184605348
10,sqrt,4,140,0.8719038300251608
10,sqrt,4,150,0.8719131488211722
10,sqrt,4,160,0.8719038300251608
10,sqrt,4,170,0.8691827415897866
10,sqrt,4,180,0.8732736930388594
10,sqrt,4,190,0.8719131488211722
10,sqrt,4,200,0.8732830118348709
10,sqrt,6,10,0.8637312459230266
10,sqrt,6,20,0.8719131488211722
10,sqrt,6,30,0.8760041002702451
10,sqrt,6,40,0.8691827415897866
10,sqrt,6,50,0.8705432858074736
10,sqrt,6,60,0.8719038300251608
10,sqrt,6,70,0.8705432858074736
10,sqrt,6,80,0.874643556052558
10,sqrt,6,90,0.874643556052558
10,sqrt,6,100,0.8760041002702451
10,sqrt,6,110,0.874643556052558
10,sqrt,6,120,0.874643556052558
10,sqrt,6,130,0.8732736930388594
10,sqrt,6,140,0.874643556052558
10,sqrt,6,150,0.8760041002702451
10,sqrt,6,160,0.8760134190662565
10,sqrt,6,170,0.8719131488211722
10,sqrt,6,180,0.8719131488211722
10,sqrt,6,190,0.8719131488211722
10,sqrt,6,200,0.873283011834871
10,sqrt,8,10,0.8542447115832635
10,sqrt,8,20,0.8624079768893859
10,sqrt,8,30,0.8651290653247601
10,sqrt,8,40,0.8705619233994968
10,sqrt,8,50,0.8678408349641227
10,sqrt,8,60,0.8705619233994968
10,sqrt,8,70,0.8719317864131954
10,sqrt,8,80,0.8760320566582797
10,sqrt,8,90,0.8773832820799552
10,sqrt,8,100,0.8760134190662565
10,sqrt,8,110,0.8773832820799552
10,sqrt,8,120,0.8773832820799552
10,sqrt,8,130,0.8746528748485696
10,sqrt,8,140,0.8746528748485696
10,sqrt,8,150,0.873283011834871
10,sqrt,8,160,0.8773739632839437
10,sqrt,8,170,0.8787345075016308
10,sqrt,8,180,0.8760134190662565
10,sqrt,8,190,0.874643556052558
10,sqrt,8,200,0.8760041002702451
10,sqrt,10,10,0.843295126269686
10,sqrt,10,20,0.8637126083310036
10,sqrt,10,30,0.8651011089367253
10,sqrt,10,40,0.8719131488211722
10,sqrt,10,50,0.8719038300251608
10,sqrt,10,60,0.8664430155623893
10,sqrt,10,70,0.8691641039977634
10,sqrt,10,80,0.8746249184605348
10,sqrt,10,90,0.875985462678222
10,sqrt,10,100,0.875985462678222
10,sqrt,10,110,0.8732643742428478
10,sqrt,10,120,0.8732736930388594
10,sqrt,10,130,0.8719131488211722
10,sqrt,10,140,0.8746435560525582
10,sqrt,10,150,0.8746435560525582
10,sqrt,10,160,0.8760041002702451
10,sqrt,10,170,0.8732923306308825
10,sqrt,10,180,0.871922467617184
10,sqrt,10,190,0.871922467617184
10,sqrt,10,200,0.8705619233994968
10,sqrt,12,10,0.8583077066443016
10,sqrt,12,20,0.867831516168111
10,sqrt,12,30,0.8719131488211722
10,sqrt,12,40,0.8691920603857982
10,sqrt,12,50,0.8705526046034852
10,sqrt,12,60,0.8705526046034852
10,sqrt,12,70,0.8691920603857982
10,sqrt,12,80,0.8719038300251608
10,sqrt,12,90,0.8705339670114622
10,sqrt,12,100,0.8732643742428479
10,sqrt,12,110,0.8732643742428479
10,sqrt,12,120,0.8732736930388594
10,sqrt,12,130,0.8691734227937751
10,sqrt,12,140,0.8719038300251608
10,sqrt,12,150,0.8664616531544125
10,sqrt,12,160,0.8651104277327368
10,sqrt,12,170,0.8651104277327368
10,sqrt,12,180,0.8664802907464356
10,sqrt,12,190,0.8651197465287485
10,sqrt,12,200,0.8664802907464356
10,sqrt,14,10,0.863768521107073
10,sqrt,14,20,0.8610287950796757
10,sqrt,14,30,0.8610194762836642
